epoch,accuracy,jaccard_index,loss,val_accuracy,val_jaccard_index,val_loss
0,0.5815341472625732,0.2894671559333801,1.1958502531051636,0.7093889713287354,0.3316211998462677,0.9816306829452515
1,0.7445357441902161,0.4685191810131073,0.7470142841339111,0.7430258393287659,0.48266661167144775,0.7143089771270752
2,0.7864469289779663,0.5263593792915344,0.6373140811920166,0.7522017359733582,0.5061433911323547,0.6949942111968994
3,0.8067404627799988,0.557521641254425,0.5855609774589539,0.753021776676178,0.5172415375709534,0.709814727306366
4,0.8191884160041809,0.5802392363548279,0.5461922883987427,0.7946202158927917,0.5614948868751526,0.6131634712219238
5,0.8233532309532166,0.5896747708320618,0.5304695963859558,0.8046747446060181,0.5699245929718018,0.5845921635627747
6,0.8294184803962708,0.6012855172157288,0.5119203925132751,0.7935106754302979,0.5588611364364624,0.6040197610855103
7,0.8332003951072693,0.6058186888694763,0.5003092885017395,0.8136592507362366,0.5913528203964233,0.557108998298645
8,0.8344421982765198,0.6099388003349304,0.4941810965538025,0.8238264322280884,0.6012098789215088,0.5275955200195312
9,0.8402999639511108,0.6201905012130737,0.47738999128341675,0.8298527002334595,0.6198345422744751,0.5167936086654663
10,0.8412144780158997,0.6220731735229492,0.47408556938171387,0.8255136609077454,0.6212745308876038,0.5261713862419128
11,0.8438867926597595,0.6287310719490051,0.46396729350090027,0.8297979831695557,0.6080397963523865,0.5158072113990784
12,0.8476769924163818,0.634670078754425,0.45144012570381165,0.8275859355926514,0.6176713705062866,0.5053617358207703
13,0.8502008318901062,0.6399762034416199,0.44378018379211426,0.8216408491134644,0.6065353155136108,0.5508056282997131
14,0.8511093258857727,0.6409762501716614,0.44205665588378906,0.8389402627944946,0.6309877634048462,0.47823232412338257
15,0.8530844449996948,0.6469010710716248,0.43450605869293213,0.8367104530334473,0.6300898194313049,0.49017333984375
16,0.8570150136947632,0.6534149050712585,0.4207640588283539,0.8347911238670349,0.6188809871673584,0.5012466907501221
17,0.860110878944397,0.6598021984100342,0.41086724400520325,0.840697169303894,0.6426659226417542,0.4876197576522827
18,0.8616452813148499,0.6629483699798584,0.40644919872283936,0.8229355216026306,0.6116580367088318,0.5357300639152527
19,0.8627191781997681,0.665743350982666,0.4009011387825012,0.8399454951286316,0.6362061500549316,0.4802103042602539
